date,chosen_industries,period_return,holdings,risk_budget,turnover
20210802,"汽车,机械设备,石油石化",-0.00516695550640885,11,1.0,1.0
20210830,"煤炭,公用事业,电力设备",0.12845875917666882,13,1.0,1.0
20210929,"煤炭,公用事业,电力设备",-0.02521428571428572,12,1.0,0.21428571428571427
20211103,"银行,煤炭,公用事业",-0.02152556231511846,13,1.0,0.5294117647058824
20211201,"银行,食品饮料,非银金融",0.018635887377080135,15,1.0,0.9230769230769231
20211229,"交通运输,通信,银行",0.006234642170398827,14,1.0,0.9259259259259259
20220127,"银行,石油石化,交通运输",0.017828812812274754,13,1.0,0.8260869565217391
20220303,"煤炭,银行,交通运输",-0.025650000000000003,14,1.0,0.65
20220701,"公用事业,煤炭,石油石化",-0.0032231889098712913,12,1.0,0.8181818181818182
20220729,"公用事业,通信,电力设备",0.0055107211744598525,15,1.0,0.7727272727272727
20220826,"食品饮料,银行,未分组",-0.0023151979130763174,15,1.0,1.0
20221226,"医药生物,未分组,电力设备",0.01663739163024082,12,0.3,0.875
20230131,"有色金属,基础化工,汽车",0.036175970868903395,12,1.0,1.0
20230228,"计算机,基础化工,家用电器",0.045794705883030674,10,1.0,0.8421052631578947
20230328,"基础化工,银行,食品饮料",0.029087329333962974,11,1.0,0.8333333333333334
20230426,"公用事业,银行,有色金属",0.01988430905729874,15,1.0,0.9166666666666666
20230529,"公用事业,银行,建筑装饰",-0.021659234783141624,13,1.0,0.7272727272727273
20230628,"公用事业,家用电器,银行",0.004588306010568154,14,1.0,0.7142857142857143
20230726,"非银金融,公用事业,银行",0.008064024640381572,14,1.0,0.6666666666666666
20230823,"煤炭,银行,家用电器",0.043227059502552165,12,1.0,0.8695652173913043
20230920,"银行,煤炭,汽车",0.002808330784287372,13,1.0,0.8095238095238095
20231123,"汽车,煤炭,食品饮料",-0.004043053727221823,11,1.0,0.5
20231221,"银行,公用事业,计算机",-0.0037924969883941797,12,1.0,1.0
20240119,"银行,煤炭,交通运输",0.10451195584625127,12,1.0,0.9565217391304348
20240226,"家用电器,汽车,银行",0.015414978932397273,11,1.0,0.85
20240325,"银行,煤炭,有色金属",0.048038327220737885,14,1.0,0.8095238095238095
20240424,"石油石化,通信,家用电器",0.026732473601426877,12,1.0,1.0
20240527,"银行,有色金属,石油石化",-0.02581818181818182,14,1.0,0.8181818181818182
20240625,"银行,基础化工,家用电器",0.026464730292424042,11,1.0,0.9130434782608695
20240723,"银行,公用事业,交通运输",-0.018971640025496304,12,1.0,0.85
20240820,"银行,公用事业,未分组",-0.015878335934751565,13,1.0,0.8095238095238095
20240919,"非银金融,银行,国防军工",0.24790904932055796,14,1.0,0.9615384615384616
20241024,"家用电器,银行,煤炭",-0.008375,13,0.3,0.875
20241121,"汽车,食品饮料,非银金融",-0.026000000000000002,14,1.0,1.0
20241219,"建筑装饰,电子,家用电器",-0.013423014323442471,12,1.0,1.0
20250117,"银行,交通运输,机械设备",0.04642358707308513,13,1.0,1.0
20250224,"银行,电子,机械设备",-0.004326906606485537,15,1.0,0.6666666666666666
20250324,"银行,有色金属,家用电器",-0.008549098722854339,13,1.0,0.88
20250422,"银行,公用事业,食品饮料",0.026183819727663427,15,1.0,0.9230769230769231
20250523,"公用事业,煤炭,食品饮料",-0.018624184438461176,11,1.0,0.7
20250623,"银行,煤炭,非银金融",0.026359609586030643,13,1.0,0.8571428571428571
20250721,"石油石化,非银金融,有色金属",0.042038257736066696,13,1.0,1.0
20250818,"非银金融,通信,计算机",0.18972347638025666,13,1.0,0.9166666666666666
20250915,"电力设备,建筑装饰,煤炭",0.1050193875576305,12,1.0,1.0
20251021,"电力设备,通信,电子",-0.013331542317492827,15,1.0,0.7727272727272727
20251118,"食品饮料,石油石化,煤炭",-0.02362931034482758,12,1.0,1.0
20251216,"煤炭,石油石化,家用电器",0.0677684868947222,9,1.0,0.6
20260115,"基础化工,有色金属,石油石化",0.062117474798493964,12,1.0,0.8333333333333334
20260212,"石油石化,电力设备,机械设备",0.0010101973350322238,13,1.0,0.8095238095238095
20260320,"煤炭,公用事业,银行",-0.02154904051172708,14,1.0,1.0
20260420,"银行,煤炭,公用事业",0.055404220732893125,13,1.0,0.5789473684210527
